"","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","i_cig","i_xm","i_xr","i_outlier","i_irr","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"Aruba",4463.6103515625,4576.17724609375,0.107782,0.0485577397048473,NA,NA,3341.39038085938,4382.35205078125,4483.517578125,4612.1533203125,22781.564453125,0.00022352572705131,NA,NA,4369.31396484375,3338.09912109375,4356.61328125,22645.17578125,1.01312243938446,NA,NA,0.645106136798859,0.0416480265557766,0.0358430817723274,1.79,0.753994941711426,0.731422066688538,0.711022257804871,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.480756968259811,0.225699678063393,0.243718177080154,1.28150844573975,-1.23168325424194,0,0.822574987987068,0.658965201379115,0.618714311667227,0.485868185758591,0.492497354745865,0.663951337337494,0.472379565238953
"Angola",246795,219629.125,35.635029,16.6855297088623,2109.06,1.52565121650696,164650.03125,190853.296875,247397.25,225903.90625,696243,0.00851076561957598,0.499810844659805,0.395717889070511,221885.578125,164834.65625,190627.84375,692778.8125,1.01219856739044,1.00496304035187,1.09432411193848,0.223235100507736,0.279282599687576,0.0438253320753574,460.567511631462,0.462515473365784,0.457982808351517,0.501556992530823,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.574353396892548,0.115992955863476,0.15449646115303,0.410894185304642,-0.132505044341087,-0.123231962323189,0.514827049162405,0.429501513947131,0.268042866589502,0.544344007968903,0.356412261724472,0.267874747514725,0.93820595741272
"Anguilla",508.507751464844,330.097259521484,0.01418,NA,NA,NA,488.507690429688,655.308837890625,511.647735595703,309.9384765625,4090.87573242188,NA,NA,NA,335.644683837891,487.688934326172,650.981811523438,4071.75219726563,NA,NA,NA,NA,NA,0.025509025901556,2.7,0.796024739742279,0.760234117507935,1.25499773025513,"Extrapolated","Extrapolated","Market-based","Regular",NA,1.16782629489899,0.538175046443939,0.408317685127258,1.58733594417572,-2.7016544342041,-5.98919484673388e-07,0.895292085602378,0.655414618115539,0.512111049930968,0.617001414299011,0.492945224046707,0.544641494750977,NA
"Albania",45421.00390625,44123.26953125,2.827608,1.17305755615234,2160.98,3.0112419128418,39210.2734375,50137.45703125,45645.90625,43686.6875,253158.3125,0.00185392634011805,0.475973457098007,0.511917591094971,44350.1328125,39617.265625,50372.55859375,251677.203125,1.03656494617462,0.995818436145783,1.00042617321014,0.704890131950378,0.0477197654545307,0.028517359867692,113.041666666667,0.414667576551437,0.414415657520294,0.433001041412354,"Extrapolated","Extrapolated","Market-based","Regular","Outlier",0.704531013965607,0.250126212835312,0.193002671003342,0.155668199062347,-0.394002467393875,0.0906743556261063,0.465705529287622,0.413511769596236,0.228360191063987,0.625138998031616,0.454777866601944,0.279587090015411,0.273188501596451
"United Arab Emirates",876475,794277.1875,10.242086,6.12584590911865,2621.51,3.29919362068176,361007.09375,717330.0625,882097.375,812739.0625,5720709.5,NA,NA,NA,764424.125,359434.34375,681309.5,5716960,NA,NA,NA,NA,NA,0.0357818081974983,3.6725,0.763315856456757,0.569927930831909,0.618564963340759,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.349178493022919,0.438422322273254,0.0950072184205055,1.08592247962952,-0.959267616271973,-0.00926293525844812,0.746955711200695,0.373997752352695,0.823444117398832,0.56871235370636,0.517379939556122,0.23508195579052,NA
"Argentina",1276408.75,1256612.25,45.407904,22.083532333374,1528.56,3.14963102340698,1073467.5,1261727.25,1280552.125,1260669.75,4855723,0.0373814553022385,0.847752034664154,0.795128107070923,1238301.125,1077272.625,1263217.75,4829826,1.02495205402374,1.03932631015778,1.06953585147858,0.510082542896271,0.129524976015091,0.0374034941196442,130.61655,0.478954970836639,0.49415385723114,0.501947402954102,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.621120154857636,0.149333089590073,0.230385571718216,0.096124179661274,-0.093989796936512,-0.00297324010170996,0.528635626449204,0.580818965909823,0.345015780024028,0.688342690467835,0.609587550163269,0.372350424528122,0.752418339252472
"Armenia",53860.84375,55513.09375,2.880874,1.13889157772064,1976.38,3.16059851646423,43883.4765625,54617.71484375,54088.0859375,55391.74609375,248957.296875,0.00216241204179823,0.598663926124573,0.553191781044006,56437.58984375,44072.9375,54749.359375,248201.78125,1.04797101020813,1.06905281543732,1.00607478618622,0.508563578128815,0.113894574344158,0.0365468263626099,435.6661796523,0.349513411521912,0.360775887966156,0.352284967899323,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.617258489131928,0.193787723779678,0.174980014562607,0.115850053727627,-0.206149786710739,0.104273468255997,0.381952614549172,0.406818887929419,0.235081058899507,0.707554697990418,0.592548668384552,0.237365648150444,0.402347415685654
"Antigua and Barbuda",2410.33447265625,2512.48828125,0.09284,NA,NA,NA,1509.43579101563,2589.31591796875,2429.29565429688,2468.86865234375,19635.43359375,NA,NA,NA,2751.02270507813,1506.44567871094,2573.83081054688,19547.84375,NA,NA,NA,NA,NA,0.0276509299874306,2.7,0.817920565605164,0.768855690956116,0.756531894207001,"Extrapolated","Extrapolated","Market-based","Outlier",NA,0.392159074544907,0.437398821115494,0.219228565692902,0.0237188898026943,-0.487736433744431,0.415231078863144,0.972304735954162,0.700273708812319,0.541756060645423,1.06929326057434,0.798241674900055,0.468771904706955,NA
"Australia",1671658.625,1687121.125,26.200984,13.7700872421265,1587.71,3.62050604820251,1193635.25,1605979,1679426,1703845,7907751.5,0.0895627364516258,0.877721846103668,0.775302231311798,1696231.25,1192137.25,1598250.25,7862773.5,1.02710175514221,1.00551331043243,1.01406824588776,0.546087741851807,0.0558019317686558,0.0334764197468758,1.44166445896522,1.06907713413239,1.06044363975525,1.04524564743042,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.493047147989273,0.242007777094841,0.207506760954857,0.331658601760864,-0.276981234550476,0.0027609767857939,1.06716774704898,1.03545175044909,1.0736139293603,0.679725527763367,0.659288704395294,0.951635122299194,0.818891227245331
"Austria",585009.6875,580689.8125,9.064677,4.66247940063477,1436.87,3.43048191070557,398141.6875,592722.1875,588462,581060.3125,3212486.75,0.0357856713235378,0.917000830173492,0.876604437828064,581301.875,397344.4375,588524.4375,3198415.5,1.02353346347809,1.02490365505219,1.00987482070923,0.594138145446777,0.0503369718790054,0.0445028319954872,0.949623753156941,0.847198069095612,0.801706194877625,0.811918556690216,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.496396988630295,0.334871470928192,0.188801571726799,0.608813285827637,-0.668087124824524,0.0392037704586983,0.832277367002864,0.708622825834535,0.886427532083411,0.572448909282684,0.578102290630341,0.641293048858643,0.485440403223038
"Azerbaijan",266159.59375,214046.203125,10.295304,4.97591018676758,1790.37,NA,149362.671875,178833.015625,266880.78125,217383.6875,509415.53125,0.00726917618885636,NA,NA,208403.4375,149510.5,178380.109375,504591.75,1.01876890659332,NA,NA,0.392302095890045,0.22551417350769,0.0611092038452625,1.7,0.290219366550446,0.295290917158127,0.362527072429657,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.504081130027771,0.135568350553513,0.183011248707771,0.259252399206162,-0.121383108198643,0.0394700132310391,0.311857709998802,0.320994650067517,0.230619362332505,0.697040498256683,0.621301710605621,0.2161825299263,0.597727358341217
"Burundi",12282.87109375,13153.9423828125,13.321097,5.71780443191528,NA,1.46562254428864,13603.3994140625,14732.8408203125,12317.0966796875,13065.0166015625,29178.771484375,0.000340341153787449,0.214523211121559,0.226701840758324,13019.7978515625,13565.8369140625,14681.69921875,29043.12890625,1.02536618709564,0.977182745933533,0.990606486797333,0.606217503547669,0.0988619551062584,0.0405208319425583,2034.30663430472,0.343241661787033,0.355680018663406,0.335318773984909,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.766251802444458,0.0864477604627609,0.274956166744232,0.0442467853426933,-0.185499146580696,0.0135966278612614,0.365304570093719,0.505492059766146,0.28175646329573,0.646845400333405,0.53340345621109,0.293851107358933,0.459878385066986
"Belgium",707499.625,670287.125,11.64182,5.03521394729614,1589.98,3.16554522514343,483854.9375,722066.4375,711671.1875,665497.25,3910313.25,0.0414607860147953,0.914893209934235,0.930262804031372,669866.9375,483228.40625,716393.125,3893210.75,1.02536022663116,1.00572609901428,1.00612604618073,0.571623742580414,0.0736768990755081,0.0444447696208954,0.949623753156941,0.914021849632263,0.833866655826569,0.891722500324249,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.522547960281372,0.357945144176483,0.204509779810905,1.48138356208801,-1.56638634204865,0,0.873674805221536,0.671055323896277,1.01711363833549,0.573466897010803,0.550662100315094,0.560404002666473,0.556284606456757
"Benin",45480.24609375,46589.12890625,13.759501,4.22365379333496,NA,2.01414346694946,37880.13671875,49192.91015625,45706.8046875,46482.140625,139658.796875,0.00123077782336622,0.420700788497925,0.417247802019119,47177.37890625,37834.60546875,49278.6484375,138813.671875,1.11422252655029,0.977467060089111,0.985750675201416,0.617155015468597,0.0912270992994309,0.048658698797226,622.912348249567,0.327076435089111,0.381243407726288,0.374884188175201,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.688383519649506,0.243378892540932,0.126556098461151,0.0363052859902382,-0.148664638400078,0.0540408864617348,0.332434298985936,0.562618303661182,0.29793307530689,0.446568757295609,0.437660723924637,0.321571528911591,0.491767346858978
"Burkina Faso",53335.80078125,52484.3359375,22.509038,7.20431184768677,2354.26,1.34470093250275,46920.671875,54229.90625,53505.34375,52374.12890625,104767.828125,0.00125598255544901,0.447022289037704,0.433765828609467,51857.953125,46902.2421875,54236.46875,104358.2265625,1.05516922473907,0.978806853294373,1.02467179298401,0.425985455513001,0.23900842666626,0.0601930655539036,623.759700911182,0.33635488152504,0.351744651794434,0.35934191942215,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.69898384809494,0.139558091759682,0.196891143918037,0.134122222661972,-0.217043295502663,0.0474880002439022,0.328945959049418,0.450537328261871,0.362657313288956,0.591633796691895,0.466643422842026,0.266110569238663,0.780363857746124
"Bangladesh",1299698.625,1322660.875,169.384897,72.8205413818359,2376.93,2.1118311882019,1006473.25,1396543.5,1307345,1327167.875,5162544,NA,NA,NA,1314714.875,1004832.875,1390142,5132436.5,NA,NA,NA,NA,NA,0.0399690866470337,91.7454544396961,0.32162618637085,0.331133782863617,0.326187878847122,"Extrapolated","Extrapolated","Market-based","Regular",NA,0.696536958217621,0.293911814689636,0.0618247240781784,0.0766212865710259,-0.111898519098759,-0.0169962476938963,0.323485371773714,0.355665631505093,0.300679852877845,0.544392168521881,0.522111296653748,0.211479172110558,NA
"Bulgaria",205298.234375,190510.0625,6.825864,3.33363175392151,1618.99,3.24076652526855,162930.953125,203799.265625,206095.234375,188591.5625,524815.625,0.00511813769116998,0.84441202878952,0.855143427848816,190068.8125,162289.59375,202725.796875,521977.09375,1.02843451499939,1.01087820529938,1.02830386161804,0.516510665416718,0.177206113934517,0.0556393824517727,1.86014166666667,0.423291474580765,0.439162254333496,0.479922086000443,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.585674941539764,0.2167027592659,0.278260618448257,0.389603912830353,-0.572662711143494,0.102420449256897,0.474618109728453,0.502434848468648,0.315260627507221,0.654640018939972,0.521873772144318,0.356420695781708,0.775712966918945
"Bahrain",92200.40625,91651.6875,1.533459,0.732841610908508,2060.25,2.82015657424927,45299.01171875,68597.2890625,92629.9296875,91201.484375,488150.375,0.0049168523401022,0.741710960865021,0.522810280323029,87633.0859375,45410.23828125,68421.3359375,485887.78125,1.04966974258423,0.995170056819916,1.00139892101288,0.2935651242733,0.148663997650146,0.0338186100125313,0.376,0.514742195606232,0.479019492864609,0.486522167921066,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.329010128974915,0.25545945763588,0.167681485414505,0.423184812068939,-0.521129786968231,0.345793902873993,0.565087748720835,0.409563598379546,0.415958500958897,0.553195178508759,0.52983546257019,0.294020861387253,0.578392505645752
"Bahamas",13753.794921875,13552.5986328125,0.397538,0.20679934322834,NA,NA,10664.3896484375,13983.55078125,13822.55859375,13448.005859375,80090.9609375,0.000758643785957247,NA,NA,11903.6240234375,10533.0986328125,13832.4912109375,79793.640625,1.0117689371109,NA,NA,0.397210270166397,0.117226175963879,0.0400300323963165,1,0.977294266223908,0.950358331203461,0.976827740669251,"Extrapolated","Extrapolated","Market-based","Regular","Regular",0.558109283447266,0.246814340353012,0.234899699687958,0.569499492645264,-0.64087700843811,0.0315541811287403,1.15578115556705,0.863813613686099,0.553218913607914,0.676267147064209,0.666795492172241,0.634129345417023,0.946971714496613
