"","year","rgdpe","rgdpo","pop","emp","avh","hc","ccon","cda","cgdpe","cgdpo","cn","ck","ctfp","cwtfp","rgdpna","rconna","rdana","rnna","rkna","rtfpna","rwtfpna","labsh","irr","delta","xr","pl_con","pl_da","pl_gdpo","csh_c","csh_i","csh_g","csh_x","csh_m","csh_r","pl_c","pl_i","pl_g","pl_x","pl_m","pl_n","pl_k"
"1",1950,246168.578125,238238.484375,46.8672299592732,19.6478118896484,2072.71,1.79351770877838,199832.875,249111.140625,243320.9375,235872.28125,992284.3125,NA,NA,NA,396437.28125,327883.84375,436077.1875,1627707.5,NA,NA,NA,0.579223155975342,0.129202827811241,0.0282348673790693,0.322622960779777,0.0681933835148811,0.067480593919754,0.0696115791797638,0.680779159069061,0.208919271826744,0.166428819298744,0.0447712987661362,-0.102028243243694,0.00112969905603677,0.0714265842944406,0.0645900998100214,0.054967931518577,0.102128401398659,0.0618218891322613,0.0407185740768909,NA
"2",1951,265307.9375,259540.96875,47.1786497713385,19.6746253967285,2079.05,1.80532491207123,212501.625,270742.34375,264007.1875,256525.625,1029596,NA,NA,NA,431099.125,347974.75,469498.75,1696151.875,NA,NA,NA,0.579223155975342,0.129423335194588,0.0289186630398035,0.322262054649023,0.0736150145530701,0.0725032836198807,0.0746178403496742,0.652981996536255,0.227036640048027,0.175401642918587,0.0501968301832676,-0.112521097064018,0.00690400879830122,0.0772448139988509,0.0684469381836957,0.0601020753607193,0.112404100596905,0.0716407001018524,0.0454839542508125,NA
"3",1952,273495.96875,267948.25,47.4253990470572,19.8385143280029,2085.42,1.81720972061157,226373.6875,285636.4375,273571.125,267556.53125,1068648.25,NA,NA,NA,449655.15625,368577.4375,493401.28125,1761609.875,NA,NA,NA,0.579223155975342,0.134730085730553,0.0294351819902658,0.322210496630344,0.0772477611899376,0.0755059123039246,0.0772032588720322,0.667779922485352,0.221496194601059,0.178298071026802,0.0450692437589169,-0.112637221813202,-6.230240160221e-06,0.0805849976125943,0.0688523247168737,0.0647488044022362,0.110368721187115,0.0743861570954323,0.0455504022538662,NA
"4",1953,295147.84375,287074.59375,47.7149305450718,20.0496120452881,2091.81,1.82917284965515,238524.09375,305468.53125,295546.5625,288715.90625,1114638.5,NA,NA,NA,477373.78125,386385.65625,526644.1875,1843348.625,NA,NA,NA,0.579223155975342,0.14248614013195,0.0298530161380768,0.322210496630344,0.0790235176682472,0.0771147012710571,0.0789391472935677,0.655188620090485,0.231869548559189,0.170966401696205,0.0491326376795769,-0.110677622258663,0.00352040166035295,0.0826383453938231,0.0703135965660794,0.0651705235206437,0.108635097742081,0.0746812075376511,0.0459634512662888,NA
"5",1954,309733.0625,299421.0625,48.0552033072697,20.3226585388184,2098.21,1.84121477603912,244410.15625,316069,309194.84375,300345.09375,1167833.875,0.0883736908435822,0.599766373634338,0.630908131599426,496921.3125,395491.4375,545455.5,1932837.625,0.0797965154051781,0.684570372104645,0.759116530418396,0.579223155975342,0.145801812410355,0.0302229337394238,0.322210496630344,0.0813615545630455,0.0788627117872238,0.0811864212155342,0.64070063829422,0.238588377833366,0.173063814640045,0.0507016219198704,-0.108559213578701,0.00550485122948885,0.0847088237510067,0.0703397847767592,0.0689696240776272,0.110396958887577,0.072303332388401,0.0462311208248138,0.819879651069641
"6",1955,330669.34375,319442.40625,48.3875170275802,20.3143501281738,2104.64,1.85333597660065,250559.125,334784.78125,329210.9375,319733.8125,1235041.125,0.0909831300377846,0.601916611194611,0.629927933216095,523501.9375,406529.4375,577485.75,2047128.375,0.0849023908376694,0.698871374130249,0.778823256492615,0.579223155975342,0.146129161119461,0.0305278692394495,0.322210496630344,0.0844868570566177,0.0814737975597382,0.0838887393474579,0.616741895675659,0.263424336910248,0.166907265782356,0.0529707446694374,-0.110843785107136,0.0107995448634028,0.0877916423400857,0.0725103619640402,0.0722752956661195,0.112356945872307,0.0746808275580406,0.0479790456593037,0.781859874725342
"7",1956,344046,331720.3125,48.6740653081778,20.3831329345703,2111.08,1.86500906944275,258849.953125,348833.71875,342090.71875,331803.5,1304881.25,0.0926844328641892,0.603914499282837,0.637212097644806,545057,422646.9375,602211.625,2165501,0.0900566279888153,0.704616010189056,0.7864630818367,0.579223155975342,0.148780316114426,0.0307513140141964,0.322210496630344,0.0904868170619011,0.0859142392873764,0.088577926158905,0.612175762653351,0.271195948123932,0.167954474687576,0.0584578588604927,-0.120212540030479,0.0104284454137087,0.0945115124449715,0.0727606186344502,0.0758172471315237,0.113154284656048,0.0772336944937706,0.0490328781306744,0.826429963111877
"8",1957,360579.59375,345593.53125,48.9337456548122,20.4726867675781,2117.55,1.8767557144165,267205.4375,364109.09375,358827.25,345760.25,1376438.5,0.0943282842636108,0.607047021389008,0.643562972545624,565770.0625,437326.03125,627587.5625,2292545.25,0.0953543931245804,0.708357930183411,0.793790280818939,0.579223155975342,0.144393414258957,0.0308124572038651,0.322210496630344,0.0924045741558075,0.0877713486552239,0.0910884067416191,0.607085227966309,0.280262559652329,0.16572031378746,0.0673274472355843,-0.135506302118301,0.0151108037680388,0.0963565161796604,0.0749955389659043,0.0779273722646558,0.114341706037521,0.0768639594316483,0.0508652627468109,0.820746779441834
"9",1958,379893.6875,360977.625,49.2262641656859,20.5441455841064,2124.03,1.88857638835907,280634.34375,379594.46875,378335.71875,363811.09375,1452569.875,0.0956131666898727,0.623864531517029,0.649316191673279,592311.1875,457103.125,654107.375,2421028,0.100702874362469,0.719391465187073,0.802570283412933,0.579223155975342,0.149162515997887,0.0307877324521542,0.322158998216311,0.0945380032062531,0.0894968137145042,0.0930698215961456,0.60435551404953,0.272009611129761,0.167018264532089,0.069699689745903,-0.126384437084198,0.013301414437592,0.0982415856146871,0.0752008085202218,0.0811366095224697,0.107289098203182,0.071414053440094,0.0505664385855198,0.851016342639923
"10",1959,405842.46875,386651.0625,49.5804662000471,20.5735340118408,2130.53,1.90047144889832,294205.875,401623.5625,403133.59375,389410.125,1539107.125,0.0964979529380798,0.638784825801849,0.657394170761108,630935.4375,479794.03125,692790.375,2564967,0.106826767325401,0.742856025695801,0.824024677276611,0.579223155975342,0.14980860054493,0.0308244731277227,0.322210496630344,0.0941635891795158,0.0890989378094673,0.0922389328479767,0.592437267303467,0.275847226381302,0.163079485297203,0.0759807601571083,-0.12339186668396,0.0160470977425575,0.0973297221907897,0.0752273664278768,0.0826616241436812,0.1014049872756,0.0716376230120659,0.0505413748323917,0.810698926448822
