country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,trade_in_services_percent_of_gdp,imports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_imports_bop,imports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_imports_bop,travel_services_percent_of_service_imports_bop,foreign_direct_investment_net_outflows_percent_of_gdp,portfolio_investment_net_bop_current_usd,exports_of_goods_and_services_bop_current_usd,insurance_and_financial_services_percent_of_service_exports_bop,exports_of_goods_services_and_primary_income_bop_current_usd,transport_services_percent_of_service_exports_bop,travel_services_percent_of_service_exports_bop,foreign_direct_investment_net_inflows_percent_of_gdp,short_term_debt_percent_of_exports_of_goods_services_and_primary_income,net_oda_received_percent_of_imports_of_goods_services_and_primary_income,total_debt_service_percent_of_exports_of_goods_services_and_primary_income,debt_service_ppg_and_imf_only_percent_of_exports_of_goods_services_and_primary_income,public_and_publicly_guaranteed_debt_service_percent_of_exports_of_goods_services_and_primary_income,inflation_consumer_prices_annual_percent,net_investment_in_nonfinancial_assets_percent_of_gdp,taxes_on_goods_and_services_percent_of_revenue,taxes_on_goods_and_services_percent_value_added_of_industry_and_services,goods_and_services_expense_percent_of_expense,statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,exports_of_goods_and_services_current_usd,exports_of_goods_and_services_constant_2015_usd,exports_of_goods_and_services_annual_percent_growth,exports_of_goods_and_services_percent_of_gdp,imports_of_goods_and_services_current_usd,imports_of_goods_and_services_constant_2015_usd,imports_of_goods_and_services_annual_percent_growth,imports_of_goods_and_services_percent_of_gdp,external_balance_on_goods_and_services_percent_of_gdp,services_value_added_per_worker_constant_2015_usd,services_value_added_current_usd,services_value_added_constant_2015_usd,services_value_added_annual_percent_growth,services_value_added_percent_of_gdp,inflation_gdp_deflator_annual_percent,inflation_gdp_deflator_linked_series_annual_percent,foreign_direct_investment_net_bop_percent_of_gdp
Afghanistan,AFG,South Asia,Low income,2022,,,,,,,,,,,,,,,,,,,,13.7121023720065,,,,,60.0,2.0,2664599570.76697,,18.6125162428067,18.3800424016375,7901784705.74946,,36.7070623063138,54.5054272070161,-36.1253848053787,2930.15071218144,6530995142.88942,6382914856.91904,-6.48174850425876,45.0499087998591,9.40623933931322,9.40623933931322,
Albania,ALB,Europe & Central Asia,Upper middle income,2022,39.6075555959055,9016395289.60554,3.25498696493257,9973481497.84648,12.593885551242,73.7381526323491,1.00704199675918,601028649.497295,7056503560.71335,0.778982423026316,7682391863.23188,10.5522654008366,58.9119093782683,7.57934042905775,16.6991221333027,3.17609617634876,9.18516585280181,6.02271781675756,4.99083803229352,6.7252027153006,4.26768931781499,52.2945642515302,18.9749264509781,8.22051949569365,69.7666666666667,2.3,7073859741.47037,5197061339.25624,17.0424879813874,37.1970755614977,9033376424.81865,7080833265.31584,11.5172392295421,47.5009680329889,-10.3038924714912,13294.7918505266,8804819392.83503,6582969802.25819,7.36986342366322,46.2991272417493,9.86160992016288,9.86160992016288,-6.572184179241276
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,5.06967264843543,46595142587.2769,3.12954287403528,52779287310.6244,39.8852505686787,5.20963420994501,0.0374969520610289,,69225625434.2999,10.5085080841627,70199124677.573,20.9314335788975,4.98562372554673,0.107187812155079,2.48461787523859,0.409926716635639,0.426551111107604,0.255629393742278,0.17848546712724,9.26551551551553,,,,,57.8333333333333,2.2,69460098852.0897,35079226621.4416,-0.100000000000591,30.7915561763341,46015346669.8381,39334527117.3157,-0.200000000000216,20.3985331920556,10.3930229842786,16597.8029293829,96427806688.2296,110979345266.06,4.28952383498033,42.7463000437695,22.9203055988744,22.9203055988744,-0.06969086009404919
American Samoa,ASM,East Asia & Pacific,High income,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,409000000.0,293259259.259259,3.06406685236769,46.9575200918485,677000000.0,527737179.48718,-12.5706214689266,77.7267508610792,-30.7692307692308,,,,,,14.1527648578811,14.1527648578811,
Andorra,AND,Europe & Central Asia,High income,2022,94.434915223252,2439653236.73165,7.13757530007107,2632195158.11687,17.4170347316349,27.2176315985616,4.24118054092672,1145522485.35768,2735853297.88449,2.41478740418172,3073670567.4222,1.49720220967287,86.1822501424763,17.5702350620217,,,,,,,0.92792704629771,23.1479683046206,7.61301203277545,,55.7666666666667,,,,,,,,,,,,2643362004.33013,2479224694.5167,7.92166004691776,78.1918257115356,4.23665226454663,4.23665226454663,-13.32905452109498
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,8.67227678043727,28564199364.7171,5.93105296499728,37437250597.9513,32.1092182323334,14.6723881925328,0.0312976685514079,-922852409.411998,50120200234.5765,,50297120491.8727,23.4965537798945,23.9166473522037,-5.02899288556058,8.33564791304,0.25624710141531,30.3800197632965,17.467268622703,17.1920702597622,21.3552901320822,4.78563427583366,10.4821834546595,3.46501930844396,,60.7666666666667,2.3,46181518626.076,13671041132.293,4.37270081192213,35.1960530217063,26319489922.7596,19031954107.1208,22.387763479855,20.0587202496772,15.1373327720292,10341.8510922223,57436153281.0651,53263507038.1267,5.94981263074705,43.7734824749089,18.1217716217607,18.1217716217607,5.060290554111984
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,82.0232074535738,1227402209.62963,10.7947391170532,1336097633.33333,22.1324476065917,14.2180632248981,0.928901488770229,45744597.037037,1111272888.51851,6.0370747849095,1127276171.1111,8.48541899116774,80.5318036036157,16.3832463643885,,,,,,7.53107834634288,,,,,26.9,2.9,1021455555.55556,,,54.7237649635992,1175559259.25926,,,62.9797628047534,-8.25599784115419,,1276885185.18519,1106180508.46856,11.6552045868384,68.4082282185752,6.78027470784266,6.78027470784266,-16.277402301313646
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,5.61623596210779,97545345842.839,4.16846172969316,112945822867.397,30.033608894177,26.2675884942033,0.329630467537955,7462623327.7254,103187042164.75,1.75378283193521,107010965951.779,15.0709132494149,24.0951200637198,2.3984601182853,46.1166587191053,0.341180876420954,31.6825901735881,26.4162340007016,7.47671216584039,72.430757531824,0.472681609433818,29.1858814242154,6.7323894239108,3.57492849877465,80.1333333333333,2.7,103224756800.251,71160809397.8913,4.55692873309846,16.2816677253254,96991607940.8038,76797049470.735,17.5358183246673,15.2985115353002,0.983156190025194,23729.9544339609,339403077627.252,340150605437.101,5.97615605030815,53.5341356683759,68.9938267692314,68.9938267692314,-2.0688296507473463
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,36.6528432864043,10439362279.393,8.13532666305539,11940119525.7885,31.4530791647447,48.2136490782181,0.254925671520246,1364145793.25629,10339479326.9237,6.7926604774739,11351594007.4299,14.8341128566783,54.6330087057118,4.99991586140552,28.5600154293575,2.52369282440132,17.5363685258393,4.29936141131793,3.68238895459441,8.64091108973855,4.47446211113131,54.3984328494735,15.8795794369494,12.0366715887354,85.4333333333333,2.6,10063294925.058,6973017223.98577,59.8999999978197,51.5709203656497,10207068193.8164,7742026778.65442,34.9999999988657,52.3077088478584,-0.736788482208693,13429.5092444583,10852671287.9014,8059237154.8752,17.8000000017215,55.6162023383919,7.98587852828175,7.98587852828175,-4.744990189885259
Aruba,ABW,Latin America & Caribbean,High income,2022,111.482009802346,2428941212.84215,5.78763518459749,2654991681.35204,15.1933044080816,36.3224358072006,3.71404107235361,321957006.324953,2852780591.7536,1.21226255488108,2956071608.91971,3.74650673846432,86.9725120772532,7.4653342753216,,,,,,,,,,,,,2686048557.67537,,,80.8068810212559,2653499093.04325,,,79.8276653967588,0.979215624497062,,2626106866.49693,2337916854.26622,8.52426891051614,79.0035997315605,4.28905985034554,4.28905985034554,-3.7512932029679824
