country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors
Afghanistan,AFG,South Asia,Low income,2022,1,6
Albania,ALB,Europe & Central Asia,Upper middle income,2022,3,9
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,3,9
American Samoa,ASM,East Asia & Pacific,High income,2022,3,9
Andorra,AND,Europe & Central Asia,High income,2022,3,9
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,3,9
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,3,9
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,3,9
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,3,9
Aruba,ABW,Latin America & Caribbean,High income,2022,3,9
Australia,AUS,East Asia & Pacific,High income,2022,2,6
Austria,AUT,Europe & Central Asia,High income,2022,2,6
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,3,9
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,2,6
Bahrain,BHR,Middle East & North Africa,High income,2022,2,6
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6
Barbados,BRB,Latin America & Caribbean,High income,2022,2,6
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,3,9
Belgium,BEL,Europe & Central Asia,High income,2022,2,6
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,3,9
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6
Bermuda,BMU,North America,High income,2022,3,9
Bhutan,BTN,South Asia,Lower middle income,2022,3,9
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,3,9
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,3,9
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,3,9
British Virgin Islands,VGB,Latin America & Caribbean,High income,2022,3,9
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,2,6
Bulgaria,BGR,Europe & Central Asia,High income,2022,3,9
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2022,3,9
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,1,6
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,1,6
Canada,CAN,North America,High income,2022,2,6
Cayman Islands,CYM,Latin America & Caribbean,High income,2022,3,9
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,1,6
Chad,TCD,Sub-Saharan Africa,Low income,2022,1,6
Channel Islands,CHI,Europe & Central Asia,High income,2022,3,9
Chile,CHL,Latin America & Caribbean,High income,2022,3,9
China,CHN,East Asia & Pacific,Upper middle income,2022,3,9
Colombia,COL,Latin America & Caribbean,Upper middle income,2022,3,9
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,1,6
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,1,6
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,1,6
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2022,2,6
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2022,3,9
Croatia,HRV,Europe & Central Asia,High income,2022,2,6
Cuba,CUB,Latin America & Caribbean,Upper middle income,2022,3,9
Curacao,CUW,Latin America & Caribbean,High income,2022,3,9
Cyprus,CYP,Europe & Central Asia,High income,2022,2,6
Czechia,CZE,Europe & Central Asia,High income,2022,2,6
Denmark,DNK,Europe & Central Asia,High income,2022,2,6
Djibouti,DJI,Middle East & North Africa,Lower middle income,2022,3,9
Dominica,DMA,Latin America & Caribbean,Upper middle income,2022,3,9
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2022,3,9
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2022,3,9
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,3,9
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2022,3,9
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2022,3,9
Eritrea,ERI,Sub-Saharan Africa,Low income,2022,3,9
Estonia,EST,Europe & Central Asia,High income,2022,2,6
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2022,3,9
Ethiopia,ETH,Sub-Saharan Africa,Low income,2022,1,6
Faroe Islands,FRO,Europe & Central Asia,High income,2022,3,9
Fiji,FJI,East Asia & Pacific,Upper middle income,2022,3,9
Finland,FIN,Europe & Central Asia,High income,2022,2,6
France,FRA,Europe & Central Asia,High income,2022,2,6
French Polynesia,PYF,East Asia & Pacific,High income,2022,3,9
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2022,3,9
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2022,1,6
Georgia,GEO,Europe & Central Asia,Upper middle income,2022,3,9
Germany,DEU,Europe & Central Asia,High income,2022,2,6
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,1,6
Gibraltar,GIB,Europe & Central Asia,High income,2022,3,9
