cluster,n_factors,feature,factor,loading
1,6,trade_in_services_percent_of_gdp,1,-0.028769546147565134
1,6,trade_in_services_percent_of_gdp,2,-0.018585257585749262
1,6,trade_in_services_percent_of_gdp,3,-0.03771582867058286
1,6,trade_in_services_percent_of_gdp,4,-0.047016868848355604
1,6,trade_in_services_percent_of_gdp,5,-0.02423256598368389
1,6,trade_in_services_percent_of_gdp,6,-0.03170376649651371
1,6,imports_of_goods_and_services_bop_current_usd,1,-0.0017512597232055064
1,6,imports_of_goods_and_services_bop_current_usd,2,0.05283079138947102
1,6,imports_of_goods_and_services_bop_current_usd,3,0.03178636536206949
1,6,imports_of_goods_and_services_bop_current_usd,4,0.008086540243429526
1,6,imports_of_goods_and_services_bop_current_usd,5,-0.00044387694748093134
1,6,imports_of_goods_and_services_bop_current_usd,6,0.003857584857226586
1,6,insurance_and_financial_services_percent_of_service_imports_bop,1,-0.06662766475313556
1,6,insurance_and_financial_services_percent_of_service_imports_bop,2,0.0734330702172672
1,6,insurance_and_financial_services_percent_of_service_imports_bop,3,-0.026463356710726017
1,6,insurance_and_financial_services_percent_of_service_imports_bop,4,0.21412714187009393
1,6,insurance_and_financial_services_percent_of_service_imports_bop,5,-0.1447581646289943
1,6,insurance_and_financial_services_percent_of_service_imports_bop,6,0.16982556620970732
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,1,-0.0013464839510921955
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,2,0.051674399396794565
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,3,0.025716973689241935
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,4,0.006008288488321644
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,5,-0.0010858916735462828
1,6,imports_of_goods_services_and_primary_income_bop_current_usd,6,0.003548730027472556
1,6,transport_services_percent_of_service_imports_bop,1,0.06559416543343803
1,6,transport_services_percent_of_service_imports_bop,2,-0.13708842731319545
1,6,transport_services_percent_of_service_imports_bop,3,0.26945932043893045
1,6,transport_services_percent_of_service_imports_bop,4,0.2573756370950465
1,6,transport_services_percent_of_service_imports_bop,5,0.22845513351112537
1,6,transport_services_percent_of_service_imports_bop,6,-0.17380227002210485
1,6,travel_services_percent_of_service_imports_bop,1,-0.1446572079752716
1,6,travel_services_percent_of_service_imports_bop,2,0.0067568803687560065
1,6,travel_services_percent_of_service_imports_bop,3,-0.05663048776680509
