country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,exact_log_likelihood,regularized_log_likelihood
Afghanistan,AFG,South Asia,Low income,2022,1,6,-4184.407157729028,18.326852831026038
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,-10415.448399150315,30.6596109350953
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,-12056.14797013444,45.977950036074105
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,-15159.729473350842,38.813882594688884
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,-11134.900760394683,35.78669781780269
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,-229.2529981701334,32.41102090030898
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,1,6,-13342.773848795961,16.850582317910742
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,1,6,-7511.585337475679,44.02739393908311
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,1,6,-8780.468633353415,34.81772158353012
Chad,TCD,Sub-Saharan Africa,Low income,2022,1,6,-544.0243367220285,33.35053101406878
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,1,6,-10172.419861167358,35.72975154698311
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,1,6,-3587.5311299232408,-8.460853945124263
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,1,6,-84.36168190158926,23.049503976041912
Ethiopia,ETH,Sub-Saharan Africa,Low income,2022,1,6,-22928.855329375474,28.4169795720288
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2022,1,6,-4845.154579839158,38.72766792432313
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,1,6,-9183.176870650155,20.235065957469644
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2022,1,6,-14741.080795712513,7.226979734391712
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2022,1,6,-12561.514987104823,32.14958961968823
Haiti,HTI,Latin America & Caribbean,Lower middle income,2022,1,6,-11994.643944216565,31.58487860074299
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2022,1,6,-7333.238542005893,35.6576021648809
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2022,1,6,-489.7148249389935,23.21542239377998
Lesotho,LSO,Sub-Saharan Africa,Lower middle income,2022,1,6,-9599.66282798192,20.23386745932367
Liberia,LBR,Sub-Saharan Africa,Low income,2022,1,6,-5028.620846989251,37.88332463843278
Madagascar,MDG,Sub-Saharan Africa,Low income,2022,1,6,-3923.982479252346,37.674852119580116
Malawi,MWI,Sub-Saharan Africa,Low income,2022,1,6,37.063730153216,26.874324486330455
Mali,MLI,Sub-Saharan Africa,Low income,2022,1,6,-8316.190481413078,49.53447177268511
Mozambique,MOZ,Sub-Saharan Africa,Low income,2022,1,6,-4485.591437643034,5.265370870555998
Myanmar,MMR,East Asia & Pacific,Lower middle income,2022,1,6,-8546.36565992783,37.04797225296972
Nepal,NPL,South Asia,Lower middle income,2022,1,6,-5567.207167364692,31.74851087865188
Nicaragua,NIC,Latin America & Caribbean,Lower middle income,2022,1,6,-5376.094863843637,39.31908140684321
