country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,cluster,n_factors,factor,score
Afghanistan,AFG,South Asia,Low income,2022,1,6,1,-0.31210322652080424
Afghanistan,AFG,South Asia,Low income,2022,1,6,2,0.6760983988811874
Afghanistan,AFG,South Asia,Low income,2022,1,6,3,-0.38861480703601425
Afghanistan,AFG,South Asia,Low income,2022,1,6,4,-0.5519305596128727
Afghanistan,AFG,South Asia,Low income,2022,1,6,5,-0.2870836462894508
Afghanistan,AFG,South Asia,Low income,2022,1,6,6,-0.3107886238660019
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,1,-0.39695558778027396
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,2,1.9657358546416863
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,3,5.477281505535639
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,4,-0.13024504250994062
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,5,-0.2311544223620587
Bangladesh,BGD,South Asia,Lower middle income,2022,1,6,6,0.8987087867985153
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,1,-0.4474854728204954
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,2,-0.3243581557498785
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,3,-0.46677236046444187
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,4,-0.23569839054528646
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,5,0.5896702753700434
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1,6,6,-0.13294325506310709
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,1,-0.5132297517498109
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,2,0.2896027161281673
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,3,-0.7390306387377381
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,4,-0.38763501208177625
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,5,1.0165191900342077
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1,6,6,1.5879367296362357
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,1,-0.5029453393739567
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,2,-0.4146669456634401
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,3,-0.12019830359388682
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,4,-0.40577571719608196
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,5,-0.8098418950002081
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,1,6,6,-0.18368475245704113
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,1,-0.06339760780220764
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,2,-1.286009005543816
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,3,0.5317009980579376
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,4,-0.3472317199155092
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,5,0.07842806635404796
Burundi,BDI,Sub-Saharan Africa,Low income,2022,1,6,6,1.6495411117102723
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,1,6,1,-0.5440783995577761
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,1,6,2,0.41709840839442636
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,1,6,3,0.3212067163293969
