country,iso3c,region,income,year,cluster
Afghanistan,AFG,South Asia,Low income,2022,4
Albania,ALB,Europe & Central Asia,Upper middle income,2022,4
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,4
American Samoa,ASM,East Asia & Pacific,High income,2022,4
Andorra,AND,Europe & Central Asia,High income,2022,3
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,1
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,4
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,2
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,4
Aruba,ABW,Latin America & Caribbean,High income,2022,3
Australia,AUS,East Asia & Pacific,High income,2022,3
Austria,AUT,Europe & Central Asia,High income,2022,3
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,4
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,4
Bahrain,BHR,Middle East & North Africa,High income,2022,3
Bangladesh,BGD,South Asia,Lower middle income,2022,4
Barbados,BRB,Latin America & Caribbean,High income,2022,4
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,4
Belgium,BEL,Europe & Central Asia,High income,2022,3
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,4
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,1
Bermuda,BMU,North America,High income,2022,3
Bhutan,BTN,South Asia,Lower middle income,2022,1
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,1
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,4
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,4
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,3
British Virgin Islands,VGB,Latin America & Caribbean,High income,2022,4
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,3
Bulgaria,BGR,Europe & Central Asia,High income,2022,3
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,4
Burundi,BDI,Sub-Saharan Africa,Low income,2022,4
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2022,1
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,4
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,1
Canada,CAN,North America,High income,2022,3
Cayman Islands,CYM,Latin America & Caribbean,High income,2022,3
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,4
Chad,TCD,Sub-Saharan Africa,Low income,2022,4
Channel Islands,CHI,Europe & Central Asia,High income,2022,4
Chile,CHL,Latin America & Caribbean,High income,2022,3
China,CHN,East Asia & Pacific,Upper middle income,2022,4
Colombia,COL,Latin America & Caribbean,Upper middle income,2022,1
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,4
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,4
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,4
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2022,3
Cote d'Ivoire,CIV,Sub-Saharan Africa,Lower middle income,2022,1
Croatia,HRV,Europe & Central Asia,High income,2022,3
Cuba,CUB,Latin America & Caribbean,Upper middle income,2022,4
Curacao,CUW,Latin America & Caribbean,High income,2022,4
Cyprus,CYP,Europe & Central Asia,High income,2022,3
Czechia,CZE,Europe & Central Asia,High income,2022,3
Denmark,DNK,Europe & Central Asia,High income,2022,3
Djibouti,DJI,Middle East & North Africa,Lower middle income,2022,3
Dominica,DMA,Latin America & Caribbean,Upper middle income,2022,1
Dominican Republic,DOM,Latin America & Caribbean,Upper middle income,2022,1
Ecuador,ECU,Latin America & Caribbean,Upper middle income,2022,1
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,1
El Salvador,SLV,Latin America & Caribbean,Upper middle income,2022,1
Equatorial Guinea,GNQ,Sub-Saharan Africa,Upper middle income,2022,4
Eritrea,ERI,Sub-Saharan Africa,Low income,2022,4
Estonia,EST,Europe & Central Asia,High income,2022,3
Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,2022,4
Ethiopia,ETH,Sub-Saharan Africa,Low income,2022,1
Faroe Islands,FRO,Europe & Central Asia,High income,2022,4
Fiji,FJI,East Asia & Pacific,Upper middle income,2022,4
Finland,FIN,Europe & Central Asia,High income,2022,3
France,FRA,Europe & Central Asia,High income,2022,3
French Polynesia,PYF,East Asia & Pacific,High income,2022,4
Gabon,GAB,Sub-Saharan Africa,Upper middle income,2022,4
"Gambia, The",GMB,Sub-Saharan Africa,Low income,2022,1
Georgia,GEO,Europe & Central Asia,Upper middle income,2022,4
Germany,DEU,Europe & Central Asia,High income,2022,3
Ghana,GHA,Sub-Saharan Africa,Lower middle income,2022,4
Gibraltar,GIB,Europe & Central Asia,High income,2022,4
Greece,GRC,Europe & Central Asia,High income,2022,3
Greenland,GRL,Europe & Central Asia,High income,2022,4
Grenada,GRD,Latin America & Caribbean,Upper middle income,2022,4
Guam,GUM,East Asia & Pacific,High income,2022,4
Guatemala,GTM,Latin America & Caribbean,Upper middle income,2022,4
Guinea,GIN,Sub-Saharan Africa,Lower middle income,2022,4
Guinea-Bissau,GNB,Sub-Saharan Africa,Low income,2022,1
Guyana,GUY,Latin America & Caribbean,High income,2022,4
Haiti,HTI,Latin America & Caribbean,Lower middle income,2022,4
Honduras,HND,Latin America & Caribbean,Lower middle income,2022,4
"Hong Kong SAR, China",HKG,East Asia & Pacific,High income,2022,3
Hungary,HUN,Europe & Central Asia,High income,2022,3
Iceland,ISL,Europe & Central Asia,High income,2022,3
India,IND,South Asia,Lower middle income,2022,4
Indonesia,IDN,East Asia & Pacific,Upper middle income,2022,1
"Iran, Islamic Rep.",IRN,Middle East & North Africa,Upper middle income,2022,2
Iraq,IRQ,Middle East & North Africa,Upper middle income,2022,4
Ireland,IRL,Europe & Central Asia,High income,2022,3
Isle of Man,IMN,Europe & Central Asia,High income,2022,4
Israel,ISR,Middle East & North Africa,High income,2022,3
Italy,ITA,Europe & Central Asia,High income,2022,3
Jamaica,JAM,Latin America & Caribbean,Upper middle income,2022,1
Japan,JPN,East Asia & Pacific,High income,2022,3
Jordan,JOR,Middle East & North Africa,Lower middle income,2022,1
Kazakhstan,KAZ,Europe & Central Asia,Upper middle income,2022,1
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2022,1
Kiribati,KIR,East Asia & Pacific,Lower middle income,2022,4
"Korea, Dem. People's Rep.",PRK,East Asia & Pacific,Low income,2022,4
"Korea, Rep.",KOR,East Asia & Pacific,High income,2022,3
Kosovo,XKX,Europe & Central Asia,Upper middle income,2022,4
Kuwait,KWT,Middle East & North Africa,High income,2022,3
Kyrgyz Republic,KGZ,Europe & Central Asia,Lower middle income,2022,4
Lao PDR,LAO,East Asia & Pacific,Lower middle income,2022,4
