clustering_features,n_clustering_features,n_clusters,n_factors,rotation,silhouette_score,smallest_cluster,largest_cluster,clusters_below_efa_rule,max_cluster_supported_factors,global_mean_primary_abs_loading,global_mean_cross_loading_gap,global_simple_feature_share,global_covariance_reconstruction_rmse,global_n_observations,global_n_parameters,global_exact_total_log_likelihood,global_exact_mean_log_likelihood,global_regularized_total_log_likelihood,global_regularized_mean_log_likelihood,global_regularized_aic,global_regularized_bic,global_likelihood_eigenvalue_floor,global_exact_likelihood_finite,global_minimum_uniqueness,global_uniquenesses_below_floor,clustered_n_parameters,clustered_exact_total_log_likelihood,clustered_regularized_total_log_likelihood,clustered_regularized_aic,clustered_regularized_bic,clustered_unstable_models,clustered_minus_global_regularized_bic,clustered_minus_global_regularized_aic,clustered_minus_global_regularized_total_log_likelihood,clustered_status,clustered_reason,clustered_mean_primary_abs_loading,clustered_minus_global_mean_primary_abs_loading,clustered_mean_cross_loading_gap,clustered_minus_global_mean_cross_loading_gap,clustered_simple_feature_share,clustered_minus_global_simple_feature_share,clustered_covariance_reconstruction_rmse,clustered_minus_global_covariance_reconstruction_rmse,experiment_id,status,error
services_value_added_per_worker_constant_2015_usd,1,2,1,varimax,0.5722149684239982,63,154,2,43,0.3911091699344829,0.3911091699344829,0.3953488372093023,0.13016166787702516,217,129,-10717.503757436923,-49.389418237036516,-10717.503757436914,-49.38941823703647,21693.00751487383,22129.01427348055,1e-06,True,0.005600940560300249,0,258.0,-10056.788241973925,-10056.788241973933,20629.576483947865,21297.807749363732,0.0,-831.2065241168166,-1063.4310309259636,660.7155154629818,ok,,0.3898483510879049,-0.0012608188465780268,0.3898483510879049,-0.0012608188465780268,0.3518379594898725,-0.0435108777194298,0.13510783766382475,0.004946169786799598,1,ok,
services_value_added_per_worker_constant_2015_usd,1,2,2,varimax,0.5722149684239982,63,154,2,43,0.4048064871098706,0.2902766121995282,0.37209302325581395,0.12228385924874888,217,171,-10091.923199236524,-46.5065585218273,-10091.923199236517,-46.506558521827266,20525.846398473033,21103.80884592845,1e-06,True,0.0014711499851791654,0,342.0,-9464.800541692504,-9464.800541692508,19613.601083385016,20499.3960166107,0.0,-604.4128293177528,-912.2453150880174,627.1226575440087,ok,,0.4075631844634245,0.002756697353553883,0.2854770627644058,-0.004799549435122397,0.32183045761440365,-0.050262565641410295,0.12790284862266793,0.005618989373919053,2,ok,
services_value_added_per_worker_constant_2015_usd,1,2,3,varimax,0.5722149684239982,63,154,2,43,0.4619461923808292,0.33316065796180133,0.4418604651162791,0.11051425408834828,217,212,-9735.588951117501,-44.864465212523044,-9735.588951117512,-44.86446521252309,19895.177902235024,20611.7161411856,1e-06,True,0.0015945232056051584,0,424.0,-8767.718977174918,-8773.416536187624,18394.833072375248,19493.011586081942,1.0,-1118.7045551036572,-1500.344829859776,962.172414929888,ok,,0.47019762858677666,0.008251436205947482,0.31925120186658545,-0.013909456095215877,0.4051012753188297,-0.036759189797449354,0.11391552669590435,0.0034012726075560717,3,ok,
services_value_added_per_worker_constant_2015_usd,1,2,4,varimax,0.5722149684239982,63,154,2,43,0.5207528299974815,0.3744244385170927,0.5116279069767442,0.09224565933558948,217,252,-8711.437182884212,-40.144871810526325,-8711.437182884212,-40.144871810526325,17926.874365768424,18778.60849886062,1e-06,True,0.0001049892354001436,0,504.0,-8239.249943435994,-8245.379125430285,17498.75825086057,18804.140257719468,1.0,25.531758858847752,-428.11611490785435,466.0580574539272,ok,,0.5284094066545323,0.007656576657050773,0.34473030971815144,-0.029694128798941233,0.4156039009752438,-0.0960240060015004,0.09400907975982865,0.0017634204242391732,4,ok,
services_value_added_per_worker_constant_2015_usd,1,2,5,varimax,0.5722149684239982,63,154,2,43,0.5657277675248007,0.38867644766974613,0.5348837209302325,0.07288297762140372,217,291,-8405.982543232609,-38.73724674300741,-8405.982543232802,-38.7372467430083,17393.965086465603,18377.515216345877,1e-06,True,0.00010906200133609101,0,582.0,-7463.529521741884,-7470.462787138289,16104.925574276578,17612.33098695888,1.0,-765.1842293869959,-1289.0395121890251,935.5197560945126,ok,,0.5637827581203824,-0.0019450094044183297,0.37990698375132587,-0.008769463918420262,0.48537134283570893,-0.04951237809452358,0.08363504793660768,0.010752070315203963,5,ok,
services_value_added_per_worker_constant_2015_usd,1,2,6,varimax,0.5722149684239982,63,154,2,43,0.5703160529428803,0.3815584562768976,0.5348837209302325,0.07105295878466354,217,329,-7983.802073588438,-36.79171462483151,-7983.8020735883765,-36.79171462483123,16625.604147176753,17737.590376491564,1e-06,True,0.00010978769585756609,0,658.0,-7165.561035171868,-7172.573979892164,15661.147959784328,17365.396690961228,1.0,-372.19368553033564,-964.4561873924249,811.2280936962125,ok,,0.5776043388379477,0.007288285895067359,0.37583559695877394,-0.005722859318123663,0.5086271567891973,-0.026256564141035166,0.07642662389257401,0.005373665107910472,6,ok,
services_value_added_per_worker_constant_2015_usd,1,2,7,varimax,0.5722149684239982,63,154,2,43,0.6051843813167397,0.4081998882157377,0.6046511627906976,0.06417897706934353,217,366,-7832.448434019394,-36.094232414835915,-7832.448434019328,-36.09423241483561,16396.896868038653,17633.939299434463,1e-06,True,0.0001089376317768842,0,732.0,-6833.032983888285,-6840.221676321649,15144.443352643299,17040.355314985987,1.0,-593.5839844484763,-1252.4535153953548,992.2267576976783,ok,,0.6086251385550578,0.0034407572383181595,0.3958111486647992,-0.012388739550938499,0.5513878469617404,-0.05326331582895727,0.06843246267852492,0.004253485609181387,7,ok,
services_value_added_per_worker_constant_2015_usd,1,2,8,varimax,0.5722149684239982,63,154,2,43,0.6224385946280169,0.40381130249639324,0.5813953488372093,0.053931308849097526,217,402,-7640.34623126477,-35.20896880767175,-7640.346231264628,-35.2089688076711,16084.692462529256,17443.41119865252,1e-06,True,0.00010841129238159386,0,804.0,-6682.268155805969,-6690.180220415411,14988.360440830822,17070.755547010496,1.0,-372.65565164202417,-1096.332021698434,950.166010849217,ok,,0.6246350921821574,0.0021964975541405307,0.4012044490267872,-0.002606853469606041,0.5116279069767442,-0.06976744186046513,0.06028730312443838,0.006355994275340851,8,ok,
services_value_added_per_worker_constant_2015_usd,1,2,9,varimax,0.5722149684239982,63,154,2,43,0.6229221949234092,0.4026861706113387,0.5348837209302325,0.05317347225867773,217,437,-7369.52249032999,-33.96093313516125,-7369.522490330193,-33.96093313516218,15613.044980660386,17090.060124157568,1e-06,True,0.00010867795334723596,0,874.0,-6363.122859198186,-6371.139378437022,14490.278756874044,16753.9769195619,1.0,-336.08320459566676,-1122.7662237863424,998.3831118931712,ok,,0.6262929407811606,0.0033707458577514338,0.400194177521995,-0.0024919930893437248,0.5153788447111778,-0.019504876219054723,0.05928280504218788,0.006109332783510148,9,ok,
services_value_added_per_worker_constant_2015_usd,1,2,10,varimax,0.5722149684239982,63,154,2,43,0.6235669306815353,0.3933198948668611,0.4883720930232558,0.052209702665035454,217,471,-7178.649623253221,-33.08133466936968,-7178.64962325315,-33.081334669369355,15299.2992465063,16891.230900023857,1e-06,True,0.0001074256994183509,0,942.0,-6223.3904732584815,-6231.727119150622,14347.454238301243,16787.275370168474,1.0,-103.95552985538234,-951.8450082050567,946.9225041025284,ok,,0.6464726567559508,0.022905726074415433,0.41428610953528106,0.02096621466841997,0.5183795948987246,0.030007501875468856,0.05051679447511213,-0.001692908189923327,10,ok,
