clustering_features,n_clustering_features,n_clusters,n_factors,rotation,silhouette_score,smallest_cluster,largest_cluster,clusters_below_efa_rule,max_cluster_supported_factors,global_mean_primary_abs_loading,global_mean_cross_loading_gap,global_simple_feature_share,global_covariance_reconstruction_rmse,global_n_observations,global_n_parameters,global_exact_total_log_likelihood,global_exact_mean_log_likelihood,global_regularized_total_log_likelihood,global_regularized_mean_log_likelihood,global_regularized_aic,global_regularized_bic,global_likelihood_eigenvalue_floor,global_exact_likelihood_finite,global_minimum_uniqueness,global_uniquenesses_below_floor,clustered_n_parameters,clustered_exact_total_log_likelihood,clustered_regularized_total_log_likelihood,clustered_regularized_aic,clustered_regularized_bic,clustered_unstable_models,clustered_minus_global_regularized_bic,clustered_minus_global_regularized_aic,clustered_minus_global_regularized_total_log_likelihood,clustered_status,clustered_reason,clustered_mean_primary_abs_loading,clustered_minus_global_mean_primary_abs_loading,clustered_mean_cross_loading_gap,clustered_minus_global_mean_cross_loading_gap,clustered_simple_feature_share,clustered_minus_global_simple_feature_share,clustered_covariance_reconstruction_rmse,clustered_minus_global_covariance_reconstruction_rmse,experiment_id,status,error
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,27,varimax,0.48544456474836,27,84,5,27,0.7813551910810131,0.555887126354011,0.6379310344827587,0.016125882418407192,217,1331,-3698.8907576159954,-17.045579528184312,-3698.890757615794,-17.04557952818338,10059.781515231589,14558.42489279394,1e-06,True,2.993335264767083e-06,0,6655.0,-inf,18827.161643417727,-24344.323286835453,-1851.1063990236944,5.0,-16409.531291817635,-34404.10480206704,22526.05240103352,ok,,0.7957590094154617,0.014403818334448593,0.525484935797685,-0.030402190556326092,0.5573653265533133,-0.0805657079294454,0.011678104596481517,-0.004447777821925675,483,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,17,varimax,0.520153679815464,18,80,6,18,0.7058402711432675,0.4948820671701334,0.5,0.03710429689936764,217,966,-4899.856632921923,-22.579984483511165,-4899.856632920262,-22.579984483503512,11731.713265840524,14996.694109360607,1e-06,True,5.655827154171789e-06,0,5796.0,30012160.64202731,15625.489510452026,-19658.97902090405,-69.09395978354587,6.0,-15065.788069144153,-31390.692286744576,20525.346143372288,ok,,0.7588992958933359,0.053059024750068406,0.5031603980945443,0.008278330924410882,0.5506117908787541,0.050611790878754115,0.03351765589396914,-0.0035866410053984957,530,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,26,varimax,0.48544456474836,27,84,5,27,0.7781102495723624,0.5489341801923494,0.6551724137931034,0.015537077665378502,217,1299,-3960.0481892209837,-18.249069996410064,-3960.048189221,-18.24906999641014,10518.096378442,14908.583040691057,1e-06,True,2.4683569931238658e-05,0,6495.0,-inf,17387.93566291107,-21785.87132582214,166.56198542314814,5.0,-14742.02105526791,-32303.96770426414,21347.98385213207,ok,,0.790907630625698,0.01279738105333561,0.522767150003054,-0.026167030189295448,0.5624503416494517,-0.09272207214365169,0.013309791286585817,-0.002227286378792685,482,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,18,varimax,0.520153679815464,18,80,6,18,0.7062279037775023,0.50303683094678,0.5517241379310345,0.036682398975214935,217,1007,-4654.663951157629,-21.450064291048978,-4654.663951158028,-21.45006429105082,11323.327902316056,14726.884537331298,1e-06,True,5.014460968011392e-06,0,6042.0,-inf,16078.769957887613,-20073.539915775225,347.7998943162311,6.0,-14379.084643015067,-31396.867818091283,20733.43390904564,ok,,0.761918476116973,0.05569057233947072,0.5050903188892996,0.002053487942519583,0.5545050055617353,0.002780867630700845,0.03171434536807749,-0.0049680536071374445,531,ok,
services_value_added_per_worker_constant_2015_usd,1,6,21,varimax,0.64513465545866,21,90,6,21,0.7297266237653165,0.5076600801418644,0.5517241379310345,0.02904310882022852,217,1124,-4303.275994492391,-19.830764951577837,-4303.275994491591,-19.83076495157415,10854.551988983181,14653.556614362658,1e-06,True,9.853686460448152e-06,0,6744.0,-inf,17420.27150270583,-21352.54300541166,1441.4847468652006,6.0,-13212.071867497458,-32207.09499439484,21723.547497197418,ok,,0.7560953583981446,0.026368734632828073,0.4888224903139416,-0.018837589827922774,0.5194660734149055,-0.032258064516129004,0.023643843972508988,-0.005399264847719531,249,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,17,varimax,0.42123712476920505,18,78,6,18,0.7058402711432675,0.4948820671701334,0.5,0.03710429689936764,217,966,-4899.856632921923,-22.579984483511165,-4899.856632920262,-22.579984483503512,11731.713265840524,14996.694109360607,1e-06,True,5.655827154171789e-06,0,5796.0,-inf,14840.213549651075,-18088.42709930215,1501.4579618183561,6.0,-13495.236147542251,-29820.140365142674,19740.070182571337,ok,,0.7531673797506204,0.0473271086073529,0.49999099465906144,0.00510892748892805,0.5532337517877006,0.05323375178770062,0.031139504376106783,-0.005964792523260855,815,ok,
services_value_added_per_worker_constant_2015_usd,1,5,26,varimax,0.657962178053516,26,100,5,26,0.7781102495723624,0.5489341801923494,0.6551724137931034,0.015537077665378502,217,1299,-3960.0481892209837,-18.249069996410064,-3960.048189221,-18.24906999641014,10518.096378442,14908.583040691057,1e-06,True,2.4683569931238658e-05,0,6495.0,-inf,16659.156775411873,-20328.313550823746,1624.1197604215413,5.0,-13284.463280269516,-30846.40992926575,20619.204964632874,ok,,0.7916551471759545,0.013544897603592121,0.5303406954599739,-0.018593484732375543,0.5920864452566343,-0.06308596853646908,0.01293375114889106,-0.0026033265164874426,197,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,6,18,varimax,0.42123712476920505,18,78,6,18,0.7062279037775023,0.50303683094678,0.5517241379310345,0.036682398975214935,217,1007,-4654.663951157629,-21.450064291048978,-4654.663951158028,-21.45006429105082,11323.327902316056,14726.884537331298,1e-06,True,5.014460968011392e-06,0,6042.0,9566982.1392554,15426.78718083673,-18769.57436167346,1651.7654484179948,6.0,-13075.119088913303,-30092.90226398952,20081.45113199476,ok,,0.7530705774275982,0.04684267365009587,0.49610097516661655,-0.006935855780163425,0.5712696647068172,0.019545526775782696,0.030758793584541647,-0.005923605390673287,816,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,17,varimax,0.43033844188313713,18,80,5,18,0.7058402711432675,0.4948820671701334,0.5,0.03710429689936764,217,966,-4899.856632921923,-22.579984483511165,-4899.856632920262,-22.579984483503512,11731.713265840524,14996.694109360607,1e-06,True,5.655827154171789e-06,0,4830.0,-inf,12044.215948403818,-14428.431896807637,1896.4723207927855,5.0,-13100.221788567822,-26160.14516264816,16944.07258132408,ok,,0.7538872073571152,0.0480469362138477,0.507498858895003,0.012616791724869625,0.575083426028921,0.07508342602892104,0.034416224602484335,-0.0026880722968833023,758,ok,
services_value_added_per_worker_constant_2015_usd,1,5,25,varimax,0.657962178053516,26,100,5,26,0.7713928996100389,0.5502007996239642,0.6551724137931034,0.018501243086042316,217,1266,-3999.1406018695325,-18.429219363454067,-3999.1406018687494,-18.429219363450457,10530.281203737499,14809.231253319722,1e-06,True,2.2911738720821084e-05,0,6330.0,-inf,16076.601172875164,-19493.202345750327,1901.5479021607862,5.0,-12907.683351158936,-30023.483549487828,20075.741774743914,ok,,0.7868808486275014,0.015487949017462532,0.5246803409584158,-0.025520458665548418,0.5844589226124265,-0.07071349118067694,0.014987161721775822,-0.003514081364266494,196,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,5,18,varimax,0.43033844188313713,18,80,5,18,0.7062279037775023,0.50303683094678,0.5517241379310345,0.036682398975214935,217,1007,-4654.663951157629,-21.450064291048978,-4654.663951158028,-21.45006429105082,11323.327902316056,14726.884537331298,1e-06,True,5.014460968011392e-06,0,5035.0,-inf,12546.391117205572,-15022.782234411145,1995.0009406650715,5.0,-12731.883596666226,-26346.1101367272,17201.0550683636,ok,,0.7527302368136018,0.04650233303609952,0.5051441515092008,0.0021073205624208002,0.5757190529159384,0.023994914984903915,0.035417925322885464,-0.0012644736523294703,759,ok,
services_value_added_per_worker_constant_2015_usd,1,6,20,varimax,0.64513465545866,21,90,6,21,0.7197913388231253,0.5065897094200719,0.5517241379310345,0.03419307425913438,217,1086,-4398.234501236485,-20.26836175685016,-4398.234501237657,-20.268361756855562,10968.469002475314,14639.037528420253,1e-06,True,4.01026836316376e-06,0,6516.0,-inf,16432.63174433171,-19833.26348866342,2190.1476670062184,6.0,-12448.889861414034,-30801.732491138733,20830.866245569367,ok,,0.7496974042231617,0.029906065400036375,0.4830921060842695,-0.023497603335802364,0.5181948196408708,-0.0335293182901637,0.026727952619709703,-0.007465121639424675,248,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,25,varimax,0.48544456474836,27,84,5,27,0.7713928996100389,0.5502007996239642,0.6551724137931034,0.018501243086042316,217,1266,-3999.1406018695325,-18.429219363454067,-3999.1406018687494,-18.429219363450457,10530.281203737499,14809.231253319722,1e-06,True,2.2911738720821084e-05,0,6330.0,-inf,15792.12467766124,-18924.24935532248,2470.5008925886323,5.0,-12338.73036073109,-29454.530559059982,19791.26527952999,ok,,0.7876903314797696,0.01629743186973076,0.5197711056533731,-0.030429693970591032,0.569283330684888,-0.08588908310821541,0.01465348922767413,-0.003847753858368186,481,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,26,varimax,0.48917805569139594,27,111,4,27,0.7781102495723624,0.5489341801923494,0.6551724137931034,0.015537077665378502,217,1299,-3960.0481892209837,-18.249069996410064,-3960.048189221,-18.24906999641014,10518.096378442,14908.583040691057,1e-06,True,2.4683569931238658e-05,0,5196.0,-inf,12692.489698100793,-14992.979396201586,2568.9672527946423,4.0,-12339.615787896415,-25511.075774643585,16652.537887321792,ok,,0.7653358433559727,-0.0127744062163897,0.5036867790538547,-0.04524740113849468,0.597648180518036,-0.057524233275067393,0.018899495823397106,0.003362418158018604,425,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,16,varimax,0.520153679815464,18,80,6,18,0.7054385365732309,0.49642580521887697,0.5,0.037168500825867076,217,924,-5137.037168603459,-23.67298234379474,-5137.037168605202,-23.672982343802776,12122.074337210404,15245.099491881789,1e-06,True,1.9547083528914655e-05,0,5544.0,-inf,13563.51321983396,-16039.02643966792,2699.1244883603904,6.0,-12545.975003521398,-28161.100776878324,18700.550388439162,ok,,0.753046603814857,0.04760806724162614,0.49893509280658954,0.002509287587712572,0.5443349753694581,0.044334975369458074,0.03695214607270615,-0.00021635475316092445,529,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,27,varimax,0.48917805569139594,27,111,4,27,0.7813551910810131,0.555887126354011,0.6379310344827587,0.016125882418407192,217,1331,-3698.8907576159954,-17.045579528184312,-3698.890757615794,-17.04557952818338,10059.781515231589,14558.42489279394,1e-06,True,2.993335264767083e-06,0,5324.0,-inf,12957.831756725373,-15267.663513450745,2726.909996798662,4.0,-11831.514895995278,-25327.445028682334,16656.722514341167,ok,,0.7752170187007829,-0.006138172380230289,0.5135407402500765,-0.0423463861039346,0.6014619418401399,-0.03646909264261877,0.015007631461139186,-0.0011182509572680056,426,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,4,18,varimax,0.4186827316052563,19,107,4,19,0.7062279037775023,0.50303683094678,0.5517241379310345,0.036682398975214935,217,1007,-4654.663951157629,-21.450064291048978,-4654.663951158028,-21.45006429105082,11323.327902316056,14726.884537331298,1e-06,True,5.014460968011392e-06,0,4028.0,-inf,9445.134225384481,-10834.268450768963,2779.9580892920094,4.0,-11946.926448039289,-22157.59635308502,14099.79817654251,ok,,0.7341976367829023,0.027969733005399955,0.48407895286792735,-0.01895787807885263,0.5526775782615605,0.0009534403305260231,0.03452732345775407,-0.002155075517460865,702,ok,
