clustering_features,n_clustering_features,n_clusters,n_factors,rotation,silhouette_score,smallest_cluster,largest_cluster,clusters_below_efa_rule,max_cluster_supported_factors,global_mean_primary_abs_loading,global_mean_cross_loading_gap,global_simple_feature_share,global_covariance_reconstruction_rmse,global_n_observations,global_n_parameters,global_exact_total_log_likelihood,global_exact_mean_log_likelihood,global_regularized_total_log_likelihood,global_regularized_mean_log_likelihood,global_regularized_aic,global_regularized_bic,global_likelihood_eigenvalue_floor,global_exact_likelihood_finite,global_minimum_uniqueness,global_uniquenesses_below_floor,clustered_n_parameters,clustered_exact_total_log_likelihood,clustered_regularized_total_log_likelihood,clustered_regularized_aic,clustered_regularized_bic,clustered_unstable_models,clustered_minus_global_regularized_bic,clustered_minus_global_regularized_aic,clustered_minus_global_regularized_total_log_likelihood,clustered_status,clustered_reason,clustered_mean_primary_abs_loading,clustered_minus_global_mean_primary_abs_loading,clustered_mean_cross_loading_gap,clustered_minus_global_mean_cross_loading_gap,clustered_simple_feature_share,clustered_minus_global_simple_feature_share,clustered_covariance_reconstruction_rmse,clustered_minus_global_covariance_reconstruction_rmse,experiment_id,status,error
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,2,2,varimax,0.48211808553742314,59,158,2,58,0.4364544999496319,0.39878912738192196,0.3793103448275862,0.11107069139030275,217,231,-11580.811433870782,-53.367794626132635,-11580.811433870796,-53.3677946261327,23623.622867741593,24404.37915640944,1e-06,True,0.0006147640162976753,0,462.0,-6818.651245352112,-6818.65124535205,14561.3024907041,16122.815068039792,0.0,-8281.564088369647,-9062.320377037493,4762.1601885187465,ok,,0.4070829760607246,-0.029371523888907347,0.30730709398506684,-0.09148203339685512,0.3337835690449706,-0.0455267757826156,0.12438984822812581,0.01331915683782306,572,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,2,2,varimax,0.5758666578630993,49,168,2,49,0.4364544999496319,0.39878912738192196,0.3793103448275862,0.11107069139030275,217,231,-11580.811433870782,-53.367794626132635,-11580.811433870796,-53.3677946261327,23623.622867741593,24404.37915640944,1e-06,True,0.0006147640162976753,0,462.0,-7446.432426525114,-7446.432426525123,15816.864853050247,17378.37743038594,0.0,-7026.0017260235,-7806.758014691346,4134.379007345673,ok,,0.41073504989381815,-0.025719450055813775,0.34528367149495204,-0.05350545588696992,0.36985539488320357,-0.009454949944382618,0.12545401856040267,0.014383327170099922,287,ok,
services_value_added_per_worker_constant_2015_usd,1,2,3,varimax,0.5733618598907102,62,155,2,58,0.48515284111194995,0.41923922192519786,0.41379310344827586,0.10231671382744192,217,287,-10930.027814096644,-50.36879177003062,-10930.027814096593,-50.368791770030384,22434.055628193186,23404.086168659298,1e-06,True,0.0002842158505825809,0,574.0,-7705.768857783094,-7705.768857782885,16559.53771556577,18499.598796497994,0.0,-4904.487372161304,-5874.517912627416,3224.258956313708,ok,,0.46660893795774216,-0.018543903154207786,0.3538214060473029,-0.06541781587789497,0.4039408866995074,-0.009852216748768461,0.1136415436911776,0.011324829863735675,3,ok,
services_value_added_per_worker_constant_2015_usd,1,2,2,varimax,0.5733618598907102,62,155,2,58,0.4364544999496319,0.39878912738192196,0.3793103448275862,0.11107069139030275,217,231,-11580.811433870782,-53.367794626132635,-11580.811433870796,-53.3677946261327,23623.622867741593,24404.37915640944,1e-06,True,0.0006147640162976753,0,462.0,-8834.523417400955,-8834.523417401053,18593.046834802106,20154.559412137798,0.0,-4249.819744271641,-5030.576032939487,2746.2880164697435,ok,,0.4268069545672427,-0.009647545382389211,0.36404262916235475,-0.03474649821956721,0.4014778325123153,0.022167487684729092,0.12622694353280517,0.015156252142502422,2,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,3,1,varimax,0.5098890551912953,44,124,3,44,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,522.0,-8956.242940121203,-8956.242940121188,18956.485880242377,20720.792298790497,0.0,-9252.16813385057,-10428.37241288265,5562.186206441325,ok,,0.31052777474848686,-0.0030726635615380693,0.31052777474848686,-0.0030726635615380693,0.2251708247258859,-0.016208485618941698,0.18312311818884697,0.021767382157967946,343,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,3,1,varimax,0.3740345556347403,44,105,3,44,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,522.0,-9444.63052124637,-9444.63052124632,19933.26104249264,21697.56746104076,0.0,-8275.392971600308,-9451.597250632389,5073.798625316194,ok,,0.2939809550416975,-0.01961948326832741,0.2939809550416975,-0.01961948326832741,0.2507548069283331,0.009375496583505477,0.18590880937104803,0.024553073340169013,628,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high | statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,3,2,1,varimax,0.48211808553742314,59,158,2,58,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,348.0,-9958.502498090584,-9958.502498090611,20613.004996181222,21789.209275213303,0.0,-8183.751157427763,-8771.853296943806,4559.926648471903,ok,,0.32148851617843693,0.007888077868412002,0.32148851617843693,0.007888077868412002,0.3167010964563801,0.07532178611155252,0.16433130545792948,0.002975569427050462,571,ok,
services_value_added_per_worker_constant_2015_usd,1,3,1,varimax,0.6805872190790466,46,118,3,46,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,522.0,-9859.352473586023,-9859.352473586003,20762.704947172006,22527.011365720125,0.0,-7445.949066920941,-8622.153345953022,4659.076672976511,ok,,0.30047768172643113,-0.013122756583593798,0.30047768172643113,-0.013122756583593798,0.2440807246146512,0.0027014142698235932,0.18834347978005572,0.0269877437491767,58,ok,
services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,2,1,varimax,0.5758666578630993,49,168,2,49,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,348.0,-11137.566892361956,-11137.566892361961,22971.133784723923,24147.338063756004,0.0,-5825.622368885062,-6413.724508401105,3380.8622542005523,ok,,0.3029610825551716,-0.010639355754853308,0.3029610825551716,-0.010639355754853308,0.21468298109010014,-0.026696329254727452,0.17363237955965524,0.012276643528776221,286,ok,
services_value_added_per_worker_constant_2015_usd,1,2,1,varimax,0.5733618598907102,62,155,2,58,0.31360043831002493,0.31360043831002493,0.2413793103448276,0.16135573603087902,217,174,-14518.429146562514,-66.90520344038025,-14518.429146562514,-66.90520344038025,29384.858293125028,29972.960432641066,1e-06,True,0.007713296021757521,0,348.0,-12279.845660677825,-12279.84566067792,25255.69132135584,26431.89560038792,0.0,-3541.064832253145,-4129.1669717691875,2238.5834858845938,ok,,0.30874436962793883,-0.004856068682086101,0.30874436962793883,-0.004856068682086101,0.25862068965517243,0.017241379310344834,0.17791302645066634,0.01655729041978732,1,ok,
