eigenvalue_rank,observed_eigenvalue,permutation_threshold,retain
1,13.142379352347795,5.679354135267699,True
2,8.616517188588968,4.842416597618914,True
3,6.585893795709806,4.359048697043411,True
4,5.883189015956181,4.0247297810975535,True
5,3.6378539640149703,3.676679581563602,False
6,2.813822523084223,3.390772207306323,False
7,2.47455274727423,3.1566364150722697,False
8,1.7037582395570108,2.9097681381074527,False
9,1.4271653785840523,2.701430919430679,False
10,1.3191477291173257,2.5066377272737106,False
11,1.1522881363471298,2.3091373333992307,False
12,0.9773998401852225,2.1293367337482882,False
13,0.5987887406089673,1.969851971008301,False
14,0.4981348840088272,1.8150557218630272,False
15,0.3788866725074138,1.6559620675168603,False
16,0.3522991701096474,1.53747816509003,False
17,0.28874370100859736,1.4031934147656424,False
18,0.2544437650715608,1.2653816810088578,False
19,0.23125642234952545,1.1500426053658301,False
20,0.14835241629583057,1.019676365473754,False
21,0.13774988311970235,0.9107902729532027,False
22,0.11030823872152107,0.7967198648521266,False
23,0.07807617918020573,0.6879553538170208,False
24,0.06589543506083907,0.5975974764910836,False
25,0.05752209034453639,0.5075072147667856,False
26,0.0320284690116154,0.41942281298789036,False
27,0.019694186711793002,0.33350192383868266,False
28,0.013851835122491597,0.24786122855194037,False
29,2.1024018036532792e-15,1.7420766313077759e-15,True
30,1.7586409272458635e-15,1.3333649374895112e-15,True
31,1.414717001603847e-15,1.0947872022681957e-15,True
32,1.187495677957074e-15,9.146967816294782e-16,True
33,1.0064832370960809e-15,7.914667507290389e-16,True
34,7.275805697106749e-16,6.657979273030088e-16,True
35,5.967164438192824e-16,5.556417738856598e-16,True
36,5.156870221904905e-16,4.700618351263608e-16,True
37,4.620410042404806e-16,3.798154124807109e-16,True
38,3.556729712971912e-16,3.0715716912530014e-16,True
39,2.1682605779805604e-16,2.3137278787991846e-16,False
40,8.603890750478595e-17,1.538258132270665e-16,False
41,-4.826156950562033e-17,7.842899653436804e-17,False
42,-1.6566156172963626e-16,9.099760329383416e-18,False
43,-3.1602938626628627e-16,-5.713149813781738e-17,False
44,-3.7441205156843364e-16,-1.3106690521897568e-16,False
45,-5.151864429012213e-16,-2.163110029295624e-16,False
46,-5.803731243285211e-16,-3.012839983299405e-16,False
47,-6.76966837934689e-16,-3.8312543823100487e-16,False
48,-7.319565552933405e-16,-4.735936253938645e-16,False
49,-8.485029021984247e-16,-5.563483172241044e-16,False
50,-1.0741708763056396e-15,-6.68907343067374e-16,False
51,-1.6548931387545533e-15,-7.794531686906654e-16,False
52,-2.1183705994249315e-15,-9.349523632578272e-16,False
53,-2.211269307604629e-15,-1.1895287290502873e-15,False
