specification_id,clustering_features,n_clustering_features,n_clusters,scope,cluster,n_observations,n_input_variables,n_variables,n_dropped_constant,silhouette_score,suggested_factors
0,global,0,0,global,all,217,58,58,0,,11
1,services_value_added_per_worker_constant_2015_usd,1,2,cluster_1,1,155,58,58,0,0.5733618598907102,10
1,services_value_added_per_worker_constant_2015_usd,1,2,cluster_2,2,62,58,58,0,0.5733618598907102,7
2,services_value_added_per_worker_constant_2015_usd,1,3,cluster_1,1,46,58,58,0,0.6805872190790466,6
2,services_value_added_per_worker_constant_2015_usd,1,3,cluster_2,2,53,58,58,0,0.6805872190790466,6
2,services_value_added_per_worker_constant_2015_usd,1,3,cluster_3,3,118,58,58,0,0.6805872190790466,9
3,services_value_added_per_worker_constant_2015_usd,1,4,cluster_1,1,46,58,58,0,0.6624373132383236,6
3,services_value_added_per_worker_constant_2015_usd,1,4,cluster_2,2,34,58,58,0,0.6624373132383236,5
3,services_value_added_per_worker_constant_2015_usd,1,4,cluster_3,3,108,58,58,0,0.6624373132383236,9
3,services_value_added_per_worker_constant_2015_usd,1,4,cluster_4,4,29,58,53,5,0.6624373132383236,4
4,services_value_added_per_worker_constant_2015_usd,1,5,cluster_1,1,100,58,58,0,0.657962178053516,9
4,services_value_added_per_worker_constant_2015_usd,1,5,cluster_2,2,29,58,53,5,0.657962178053516,4
4,services_value_added_per_worker_constant_2015_usd,1,5,cluster_3,3,29,58,58,0,0.657962178053516,5
4,services_value_added_per_worker_constant_2015_usd,1,5,cluster_4,4,26,58,58,0,0.657962178053516,3
4,services_value_added_per_worker_constant_2015_usd,1,5,cluster_5,5,33,58,58,0,0.657962178053516,5
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_1,1,90,58,58,0,0.64513465545866,9
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_2,2,24,58,58,0,0.64513465545866,5
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_3,3,28,58,53,5,0.64513465545866,4
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_4,4,31,58,58,0,0.64513465545866,4
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_5,5,21,58,58,0,0.64513465545866,3
5,services_value_added_per_worker_constant_2015_usd,1,6,cluster_6,6,23,58,58,0,0.64513465545866,3
6,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,2,cluster_1,1,168,58,58,0,0.5758666578630993,10
6,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,2,cluster_2,2,49,58,58,0,0.5758666578630993,7
7,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,3,cluster_1,1,49,58,58,0,0.5098890551912953,6
7,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,3,cluster_2,2,124,58,58,0,0.5098890551912953,10
7,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,3,cluster_3,3,44,58,58,0,0.5098890551912953,6
8,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,cluster_1,1,48,58,58,0,0.48917805569139594,6
8,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,cluster_2,2,31,58,58,0,0.48917805569139594,4
8,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,cluster_3,3,111,58,58,0,0.48917805569139594,10
8,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,4,cluster_4,4,27,58,53,5,0.48917805569139594,5
9,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,cluster_1,1,28,58,58,0,0.48544456474836,3
9,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,cluster_2,2,27,58,53,5,0.48544456474836,5
9,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,cluster_3,3,30,58,58,0,0.48544456474836,4
9,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,cluster_4,4,84,58,58,0,0.48544456474836,9
9,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,5,cluster_5,5,48,58,58,0,0.48544456474836,7
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_1,1,30,58,58,0,0.520153679815464,4
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_2,2,29,58,58,0,0.520153679815464,3
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_3,3,33,58,58,0,0.520153679815464,2
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_4,4,80,58,58,0,0.520153679815464,8
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_5,5,27,58,53,5,0.520153679815464,5
10,services_value_added_per_worker_constant_2015_usd | logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,2,6,cluster_6,6,18,58,58,0,0.520153679815464,4
