feature,communality,uniqueness
foreign_direct_investment_net_inflows_percent_of_gdp,0.07596637853201597,0.9240244671549168
foreign_direct_investment_net_outflows_percent_of_gdp,0.17432298328203308,0.825677789835856
trade_in_services_percent_of_gdp,0.41259916478359454,0.587337368164333
exports_of_goods_and_services_percent_of_gdp,0.746199069845235,0.25377551052034897
imports_of_goods_and_services_percent_of_gdp,0.985672278113481,0.014464194282189924
external_balance_on_goods_and_services_percent_of_gdp,0.2590144727961659,0.7411162549581791
services_value_added_percent_of_gdp,0.284721547815427,0.715270739415679
services_value_added_per_worker_constant_2015_usd,0.7861748221000686,0.21380840145501656
logistics_performance_index_competence_and_quality_of_logistics_services_one_equals_low_to_five_equals_high,0.6018225067772961,0.39814495516942194
statistical_performance_indicators_spi_pillar_2_data_services_score_scale_0_100,0.2973777612675795,0.7025992631031731
inflation_consumer_prices_annual_percent,0.03236418467555823,0.9676346204164862
