country_name,iso3_country_code,world_bank_region,world_bank_income_group,observation_year,factor_1,factor_2
Afghanistan,AFG,South Asia,Low income,2022,-0.13300190759921027,-0.38518898314632466
Albania,ALB,Europe & Central Asia,Upper middle income,2022,-0.13066896122150062,-0.41154781968805615
Algeria,DZA,Middle East & North Africa,Upper middle income,2022,-0.130977952172489,-0.24193939747562604
American Samoa,ASM,East Asia & Pacific,High income,2022,-0.13467028650239435,-0.3835758875412653
Andorra,AND,Europe & Central Asia,High income,2022,-0.13231942752036724,-0.41036788030719296
Angola,AGO,Sub-Saharan Africa,Lower middle income,2022,-0.12064846686209413,-0.30610092433676994
Antigua and Barbuda,ATG,Latin America & Caribbean,High income,2022,-0.13167043328436126,-0.4301639136493692
Argentina,ARG,Latin America & Caribbean,Upper middle income,2022,-0.13869543086136124,-0.08959697915335753
Armenia,ARM,Europe & Central Asia,Upper middle income,2022,-0.12297296927389481,-0.4029685684652947
Aruba,ABW,Latin America & Caribbean,High income,2022,-0.1320686520886925,-0.4228326295276481
Australia,AUS,East Asia & Pacific,High income,2022,-0.19128565946137463,1.1025956650342565
Austria,AUT,Europe & Central Asia,High income,2022,-0.17157118472224842,0.5817262389854458
Azerbaijan,AZE,Europe & Central Asia,Upper middle income,2022,-0.13564177223352783,-0.3182463658713679
"Bahamas, The",BHS,Latin America & Caribbean,High income,2022,-0.1333752699045224,-0.4183744023775538
Bahrain,BHR,Middle East & North Africa,High income,2022,-0.1382500695581867,-0.2944198574173454
Bangladesh,BGD,South Asia,Lower middle income,2022,-0.12214517026365632,-0.18161507333863722
Barbados,BRB,Latin America & Caribbean,High income,2022,-0.13387468424344784,-0.3684323697870649
Belarus,BLR,Europe & Central Asia,Upper middle income,2022,-0.13802141503175142,-0.28414405925879144
Belgium,BEL,Europe & Central Asia,High income,2022,-0.20693942910746965,1.5064410811902078
Belize,BLZ,Latin America & Caribbean,Upper middle income,2022,-0.1328587294884859,-0.4297677252249109
Benin,BEN,Sub-Saharan Africa,Lower middle income,2022,-0.12478872981182408,-0.42108025231783053
Bermuda,BMU,North America,High income,2022,-0.13328127357078742,-0.4222425473035909
Bhutan,BTN,South Asia,Lower middle income,2022,-0.13268559830140442,-0.4302228200748231
Bolivia,BOL,Latin America & Caribbean,Lower middle income,2022,-0.13401562401363118,-0.3902350666642439
Bosnia and Herzegovina,BIH,Europe & Central Asia,Upper middle income,2022,-0.13427629426871251,-0.3910752634137059
Botswana,BWA,Sub-Saharan Africa,Upper middle income,2022,-0.13364815245397801,-0.40044735151545197
Brazil,BRA,Latin America & Caribbean,Upper middle income,2022,-0.18237347295518733,0.9110710631056897
British Virgin Islands,VGB,Latin America & Caribbean,High income,2022,-0.13441753961563307,-0.35518289446689544
Brunei Darussalam,BRN,East Asia & Pacific,High income,2022,-0.13421786888766343,-0.3901552113750913
Bulgaria,BGR,Europe & Central Asia,High income,2022,-0.14077515403348262,-0.22046316709284589
Burkina Faso,BFA,Sub-Saharan Africa,Low income,2022,-0.12158575443075705,-0.4175301003927808
Burundi,BDI,Sub-Saharan Africa,Low income,2022,-0.13147574979273505,-0.419973392037958
Cabo Verde,CPV,Sub-Saharan Africa,Lower middle income,2022,-0.13250124880343236,-0.4327647871267625
Cambodia,KHM,East Asia & Pacific,Lower middle income,2022,0.19402959067669925,-0.3531509396756951
Cameroon,CMR,Sub-Saharan Africa,Lower middle income,2022,-0.11646614978057987,-0.40841448397231894
Canada,CAN,North America,High income,2022,-0.23136588726133553,2.1620251071279255
Cayman Islands,CYM,Latin America & Caribbean,High income,2022,-0.13270081422428062,-0.400774524142494
Central African Republic,CAF,Sub-Saharan Africa,Low income,2022,-0.13372146654699343,-0.3865063194766688
Chad,TCD,Sub-Saharan Africa,Low income,2022,-0.12742840454280838,-0.38283765101709155
Channel Islands,CHI,Europe & Central Asia,High income,2022,-0.13392794702796335,-0.3680522608561639
Chile,CHL,Latin America & Caribbean,High income,2022,0.07814690042803195,-0.03723596630755746
China,CHN,East Asia & Pacific,Upper middle income,2022,-0.3504981297504343,5.5279530137642094
Colombia,COL,Latin America & Caribbean,Upper middle income,2022,0.680271164130785,-0.1640709922468747
Comoros,COM,Sub-Saharan Africa,Lower middle income,2022,-0.13219045901148782,-0.43688438944808444
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,Low income,2022,-0.08929741385098679,-0.34059065340046163
"Congo, Rep.",COG,Sub-Saharan Africa,Lower middle income,2022,-0.12706396737305778,-0.38067608477890064
Costa Rica,CRI,Latin America & Caribbean,Upper middle income,2022,-0.08765421445816887,-0.3348076809960162
